"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","ShootCountsDoY73","ShootCountsDoY80","ShootCountsDoY87","ShootCountsDoY96","ShootCountsDoY101","ShootCountsDoY109","ShootCountsDoY114","ShootCountsDoY123","ShootCountsDoY129","ShootCountsDoY136","ShootCountsDoY144","ShootCountsDoY151","ShootCountsDoY157","ShootCountsDoY164","ShootCountsDoY171","ShootCountsDoY178","ShootCountsDoY185","ShootCountsDoY192","ShootCountsDoY200","ShootCountsDoY206","ShootCountsDoY213","ShootCountsDoY220","ShootCountsDoY227","ShootCountsDoY234","ShootCountsDoY242","ShootCountsDoY248","ShootCountsDoY256","ShootCountsDoY264","ShootCountsDoY276","ShootCountsDoY283","ShootCountsDoY290","ShootCountsDoY297","ShootCountsDoY305","maxShootCount","DoYmaxShootCount","CanopyHeightDoY123","CanopyHeightDoY129","CanopyHeightDoY136","CanopyHeightDoY144","CanopyHeightDoY151","CanopyHeightDoY157","CanopyHeightDoY164","CanopyHeightDoY171","CanopyHeightDoY178","CanopyHeightDoY185","CanopyHeightDoY192","CanopyHeightDoY200","CanopyHeightDoY206","CanopyHeightDoY213","CanopyHeightDoY220","CanopyHeightDoY227","CanopyHeightDoY234","CanopyHeightDoY242","CanopyHeightDoY248","CanopyHeightDoY256","CanopyHeightDoY264","CanopyHeightDoY270","CanopyHeightDoY276","CanopyHeightDoY283","CanopyHeightDoY290","CanopyHeightDoY297","maxCanopyHeight","DoYmaxCanopyHeight","FloweringStageDoY200","FloweringStageDoY206","FloweringStageDoY213","FloweringStageDoY220","FloweringStageDoY227","FloweringStageDoY234","FloweringStageDoY242","FloweringStageDoY248","FloweringStageDoY256","FloweringStageDoY264","FloweringStageDoY272","FloweringStageDoY276","FloweringStageDoY286","FloweringStageDoY291","FloweringStageDoY298","FloweringStageDoYFirstA","FloweringStageDoYFirstF"
1,1,4,"27827"," - Mx 1553#1","1",0,0,3,3,2,3,5,6,7,7,7,7,8,11,12,12,13,16,19,21,23,24,26,27,28,30,31,31,42,40,48,47,47,48,290,10,15,15,15,20,20,20,20,25,30,30,30,30,35,35,40,45,45,50,50,50,50,55,55,55,55,55,276,"","","","","","","","","","","","","","","",NA,NA
2,7,6,"27954"," - Mx 1553#1","1",0,1,2,2,2,2,3,4,4,4,4,5,5,5,5,6,6,7,8,8,10,11,17,18,23,21,26,26,28,30,35,33,33,35,290,5,10,10,10,10,15,15,15,20,20,25,25,25,30,30,35,40,45,45,45,50,50,50,50,50,50,50,264,"","","","","","","","","","","","","","","",NA,NA
3,4,3,"28026"," - Mx 1553#1","1",0,0,0,2,5,5,5,5,5,5,6,5,9,9,10,12,13,16,15,20,22,23,25,23,27,28,28,29,33,34,34,34,34,34,283,15,20,20,25,25,25,30,35,40,40,40,40,35,40,45,45,50,50,50,55,55,55,60,60,60,60,60,276,"","","","","","","","","","","","","","","",NA,NA
1,3,12,"27896"," - Mx 1553#2","2",2,2,4,4,5,5,6,4,5,5,5,6,10,11,11,13,14,17,17,19,20,21,21,22,23,23,23,23,28,30,33,34,35,35,305,15,15,20,20,25,25,25,25,30,35,35,35,40,45,50,45,45,45,45,45,50,50,50,50,50,50,50,220,"","","","","","","A","","","F","","","","","",242,264
2,9,3,"27929"," - Mx 1553#2","2",0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,7,8,8,9,10,10,10,10,11,11,12,15,15,15,15,15,283,15,15,20,20,25,20,30,25,30,35,40,40,45,50,50,45,45,40,40,40,40,40,40,40,40,40,50,213,"","","","","A","","","F","","","","","","","",227,248
3,3,6,"28051"," - Mx 1553#2","2",0,2,4,2,4,5,4,5,5,5,5,5,6,6,6,7,9,16,18,19,21,22,22,24,24,22,24,25,29,28,30,30,30,30,290,15,15,20,20,20,25,30,30,35,35,40,40,40,40,45,45,45,45,45,45,45,45,40,40,40,40,45,220,"","","","","A","","","F","","","","","","","",227,248
1,2,4,"27828"," - Mx 1553#3","3",3,3,4,6,6,5,6,10,10,9,9,11,13,13,13,16,19,25,26,27,27,28,29,29,29,30,32,31,40,55,55,58,57,58,297,15,15,20,20,25,20,25,25,25,30,35,35,35,35,40,40,40,40,40,45,45,50,50,50,50,50,50,270,"","","","","","","","","","","","","A","","",286,NA
2,6,4,"27935"," - Mx 1553#3","3",0,0,2,3,4,5,4,4,4,4,4,4,4,4,4,4,8,15,17,18,18,18,18,18,18,18,18,18,19,22,24,24,29,29,305,15,25,25,25,25,25,30,30,30,30,35,35,40,40,40,40,40,45,45,45,45,45,45,45,45,45,45,242,"","","","","","","","","","","","A","","","",276,NA
3,1,10,"28083"," - Mx 1553#3","3",1,1,2,2,1,1,3,4,4,4,5,5,5,5,5,7,9,11,16,17,18,18,18,19,19,18,19,20,22,22,23,22,24,24,305,15,15,20,20,25,25,30,30,30,35,40,40,40,40,45,45,45,45,50,50,50,50,50,50,50,50,50,248,"","","","","","","","","","","","","A","","",286,NA
1,2,10,"27879"," - Mx 1553#4","4",0,1,3,4,8,9,11,12,13,13,14,14,15,21,23,29,34,39,38,43,43,48,50,49,51,52,53,54,63,66,73,78,80,80,305,15,15,20,20,20,20,20,25,30,30,30,35,40,45,50,50,50,50,55,60,60,60,60,60,60,60,60,256,"","","","","","","","","","A","","F","","","",264,276
2,3,2,"27914"," - Mx 1553#4","4",0,1,1,2,2,2,2,2,2,2,2,2,4,5,6,6,8,9,9,9,11,12,13,15,15,15,15,17,18,19,23,24,24,24,297,15,15,20,15,20,25,30,25,30,30,30,30,30,35,40,40,45,50,50,45,45,45,50,50,50,50,50,242,"","","","","","","","","A","","F","","","","",256,272
3,8,2,"28021"," - Mx 1553#4","4",0,0,1,4,4,6,8,10,11,11,12,17,21,22,25,27,28,29,28,29,30,31,32,32,34,34,38,44,55,57,62,62,62,62,290,15,15,20,20,20,20,25,25,30,30,35,30,35,35,40,45,45,45,45,50,50,50,50,50,50,50,50,256,"","","","","","","","","","","F","","","","",NA,272
1,4,9,"27873"," - Mx 1553#5","5",0,0,0,0,1,2,2,2,4,4,4,5,7,7,6,7,10,10,12,13,13,13,17,17,21,20,22,22,27,27,28,28,28,28,290,5,5,5,10,10,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,164,"","","","","","","","","","","","","","","",NA,NA
2,7,7,"27962"," - Mx 1553#5","5",0,0,0,0,1,2,3,4,4,5,6,6,6,6,8,10,10,9,11,11,15,16,22,22,28,28,30,33,33,33,35,40,37,40,297,5,10,5,5,5,5,10,15,15,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,171,"","","","","","","","","","","","","","","",NA,NA
3,2,12,"28102"," - Mx 1553#5","5",0,0,1,2,2,2,2,2,2,2,3,3,4,4,4,6,8,5,9,10,11,10,15,12,15,12,13,15,17,15,16,14,14,17,276,5,10,10,10,10,10,10,10,10,15,15,15,15,10,15,10,10,10,10,10,10,10,10,10,10,10,15,185,"","","","","","","","","","","","","","","",NA,NA
