No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,,
1,B44,27801,ABR 15 FS,  Mx 1553#114,Block 1,R1,C1,1,32.5,28.7,18.5,,35.5,64.5,20.9,,,
2,B44,27810,ABR 15 FS,  Mx 1553#101,Block 1,R1,C2,1,1642.2,193.5,142.3,,26.5,73.5,1207.7,,,
3,B44,27819,ABR 15 FS,  Mx 1553#25,Block 1,R1,C3,1,571.1,134.5,101.8,,24.3,75.7,432.3,,,
4,B44,27827,ABR 15 FS,  Mx 1553#1,Block 1,R1,C4,1,1269.9,148.5,107.5,,27.6,72.4,919.3,,,
5,B44,27835,ABR 15 FS,  Mx 1553#45,Block 1,R1,C5,1,705.4,110.5,88.4,,20.0,80.0,564.3,,,
6,B44,61696,ABR 15 FS,  Goliath,Block 1,R1,C6,0,,,,,,,,,,
7,B44,27852,ABR 15 FS,  Mx 1553#28,Block 1,R1,C7,1,698.2,138.3,109.1,,21.1,78.9,550.8,,,
8,B44,27861,ABR 15 FS,  Mx 1553#79,Block 1,R1,C8,1,547.2,167.5,113.5,,32.2,67.8,370.8,,,
9,B44,27870,ABR 15 FS,  Mx 1553#105,Block 1,R1,C9,1,930.8,151.1,120.1,,20.5,79.5,739.8,,,
10,B44,27878,ABR 15 FS,  Mx 1553#48,Block 1,R1,C10,1,1166.6,206.3,141,,31.7,68.3,797.3,,,
11,B44,27887,ABR 15 FS,  Mx 1553#120,Block 1,R1,C11,1,1008.2,147.2,107.6,,26.9,73.1,737.0,,,
12,B44,27895,ABR 15 FS,  Mx 1553#74,Block 1,R1,C12,1,904.6,136.6,107.6,,21.2,78.8,712.6,,,
13,B44,61697,ABR 15 FS,  Goliath,Block 1,R2,C12,1,1776.2,201.4,141.3,,29.8,70.2,1246.2,,,
14,B44,61698,ABR 15 FS,  Goliath,Block 1,R2,C11,0,,,,,,,,,,
15,B44,27879,ABR 15 FS,  Mx 1553#4,Block 1,R2,C10,1,1536.2,234.1,160.9,,31.3,68.7,1055.9,,,
16,B44,27871,ABR 15 FS,  Mx 1553#77,Block 1,R2,C9,1,1712.5,157.6,119.7,,24.0,76.0,1300.7,,,
