"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","AngleInside","AngleOutside","ClumpDiam","TransectCount","TallestStemLigule","TallestStemTrueLeaf","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
1,1,4,"27827"," - Mx 1553#1","1",4.5,3.6,3,3.7,0.8,0,5,240,18,88,88,NA,"0","","","y"
2,7,6,"27954"," - Mx 1553#1","1",7.3,5.9,3.7,5.6,1.8,0,20,200,12,90,90,NA,"0","","","y"
3,4,3,"28026"," - Mx 1553#1","1",3.7,2.8,4.7,3.7,1,0,10,320,25,97,97,NA,"0","","","y"
1,3,12,"27896"," - Mx 1553#2","2",4.3,4.3,3.3,4,0.6,0,10,300,17,117,102,117,"","","y","y"
2,9,3,"27929"," - Mx 1553#2","2",5.1,4,2.8,4,1.2,0,10,150,8,107,89,107,"","","y","y"
3,3,6,"28051"," - Mx 1553#2","2",5.4,4.1,5.2,4.9,0.7,0,5,250,16,122,101,122,"","y","","y"
1,2,4,"27828"," - Mx 1553#3","3",5.3,6,4.5,5.3,0.8,0,15,270,21,66,66,NA,"0","","","y"
2,6,4,"27935"," - Mx 1553#3","3",4.5,5.5,6.2,5.4,0.9,0,25,350,15,61,61,NA,"0","","","y"
3,1,10,"28083"," - Mx 1553#3","3",5.4,5.6,4.3,5.1,0.7,0,15,160,12,57,57,NA,"0","","","y"
1,2,10,"27879"," - Mx 1553#4","4",4.9,3.7,4.4,4.3,0.6,0,15,340,25,115,105,115,"","","y","y"
2,3,2,"27914"," - Mx 1553#4","4",5,4.5,2.5,4,1.3,5,15,210,16,93,85,93,"","","y","y"
3,8,2,"28021"," - Mx 1553#4","4",4.5,5,3.5,4.3,0.8,0,10,270,19,119,102,119,"","","y","y"
