"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","ClumpDiam","TransectCount","TallestStemTrueLeaf","TallestStemLigule","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
1,1,4,"27827"," - Mx 1553#1","1",5.06,5.36,4.29,4.9,0.6,270,25,121,123,NA,"y","","","y"
2,7,6,"27954"," - Mx 1553#1","1",5.09,3.86,4.76,4.6,0.6,310,18,122,123,NA,"y","","","y"
3,4,3,"28026"," - Mx 1553#1","1",5.47,5.39,5.39,5.4,0,420,17,127,129,NA,"y","","","y"
1,3,12,"27896"," - Mx 1553#2","2",4.8,3.96,4.48,4.4,0.4,360,18,130,162,169,"","","y","y"
2,9,3,"27929"," - Mx 1553#2","2",5.08,5.53,4.67,5.1,0.4,270,12,127,149,153,"","y","","y"
3,3,6,"28051"," - Mx 1553#2","2",4.99,4.75,4.46,4.7,0.3,340,16,149,168,174,"","","y","y"
1,2,4,"27828"," - Mx 1553#3","3",4.41,5.24,5.55,5.1,0.6,290,20,84,87,NA,"y","","","y"
2,6,4,"27935"," - Mx 1553#3","3",5.33,4.24,5.03,4.9,0.6,340,19,85,85,NA,"y","","","y"
3,1,10,"28083"," - Mx 1553#3","3",4.91,5.86,5.31,5.4,0.5,260,17,92,93,NA,"y","","","y"
1,2,10,"27879"," - Mx 1553#4","4",4.95,4.57,4.75,4.8,0.2,290,17,136,150,157,"","","y","y"
2,3,2,"27914"," - Mx 1553#4","4",4.27,4.66,4.41,4.4,0.2,290,17,123,147,158,"","","y","y"
3,8,2,"28021"," - Mx 1553#4","4",5.52,4.07,4.81,4.8,0.7,330,26,127,146,156,"","y","","y"
1,4,9,"27873"," - Mx 1553#5","5",5.22,4.98,4,4.7,0.6,260,17,29,30,NA,"y","","","y"
2,7,7,"27962"," - Mx 1553#5","5",3.64,2.63,2.5,2.9,0.6,130,10,32,33,NA,"y","","","y"
3,2,12,"28102"," - Mx 1553#5","5",3,2.09,3.33,2.8,0.6,240,6,24,26,NA,"y","","","y"
1,2,7,"27853"," - Mx 1553#6","6",5.02,4.69,5.57,5.1,0.4,430,18,153,176,179,"","","y","y"
2,4,7,"27959"," - Mx 1553#6","6",5.07,4.39,4.34,4.6,0.4,360,13,136,169,NA,"","","y","y"
3,9,1,"28014"," - Mx 1553#6","6",3.85,4.43,4.48,4.3,0.4,390,18,168,191,193,"","","y","y"
1,3,11,"27888"," - Mx 1553#7","7",4.06,4.24,4.81,4.4,0.4,400,17,160,181,NA,"","","y","y"
2,5,12,"28001"," - Mx 1553#7","7",4.18,4.98,4.56,4.6,0.4,350,21,166,183,NA,"","","y","y"
3,4,9,"28077"," - Mx 1553#7","7",4.41,4.32,4.52,4.4,0.1,290,13,155,177,188,"","","y","y"
1,5,8,"27865"," - Mx 1553#8","8",4.39,4.48,4.57,4.5,0.1,500,21,138,159,160,"y","","","y"
2,5,6,"27952"," - Mx 1553#8","8",5.25,5.48,4.23,5,0.7,510,21,139,158,159,"y","","","y"
3,9,11,"28100"," - Mx 1553#8","8",4.71,3.91,4.4,4.3,0.4,380,18,142,161,165,"y","","","y"
1,9,7,"27860"," - Mx 1553#9","9",5.99,5.4,5.55,5.6,0.3,170,8,63,64,NA,"y","","","y"
2,6,2,"27917"," - Mx 1553#9","9",4.66,4.91,5.75,5.1,0.6,240,10,48,51,NA,"y","","","y"
3,2,5,"28041"," - Mx 1553#9","9",4.63,4.65,3.97,4.4,0.4,80,8,45,48,NA,"y","","","y"
1,4,12,"27897"," - Mx 1553#10","10",4.19,5.44,4.54,4.7,0.6,430,20,185,208,213,"","","y","y"
2,1,1,"27903"," - Mx 1553#10","10",3.92,4.3,3.72,4,0.3,460,17,178,198,NA,"","","y","y"
3,6,2,"28019"," - Mx 1553#10","10",5.46,4.96,4.54,5,0.5,350,16,180,195,NA,"","","y","y"
1,9,2,"27818"," - Mx 1553#11","11",5.34,5.27,5.53,5.4,0.1,430,21,172,192,NA,"","","y","y"
