Type,X1,X2,X3,X4,X5
A,190.5,152.5,145,73.5,136.5
A,172.5,132,125.5,63,121
A,167,130,125.5,69.5,119.5
A,169.5,150.5,133.5,64.5,128
A,175,138.5,126,77.5,135.5
A,177.5,142.5,142.5,71.5,131
A,179.5,142.5,127.5,70.5,134.5
A,179.5,138,133.5,73.5,132.5
A,173.5,135.5,130.5,70,133.5
A,162.5,139,131,62,126
A,178.5,135,136,71,124
A,171.5,148.5,132.5,65,146.5
A,180.5,139,1312,74.5,134.5
A,183,149,121.5,76.5,142
A,169.5,130,131,68,119
A,172,140,136,70.5,133.5
A,170,126.5,134.5,66,118.5
B,182.5,136,138.5,76,134
B,179.5,135,128.5,74,132
B,191,140.5,140.5,72.5,131.5
B,184.5,141.5,134.5,76.5,141.5
B,181,142,132.5,79,136.5
B,173.5,136.5,126,71.5,136.5
B,188.5,130,143,79.5,136
B,175,153,130,76.5,142
B,196,142.5,123.5,76,134
B,200,139.5,143.5,82.5,146
B,185,134.5,140,81.5,137
B,174.5,143.5,132.5,74,136.5
B,195.5,144,138.5,78.5,144
B,197,131.5,135,80.5,139
B,182.5,131,135,68.5,136
