"sex","survive","length","alar","weight","lbh","lhum","lfem","ltibio","wskull","lkeel"
1,1,154,241,24.5,31.2,17.4,17,26,14.9,21.1
1,0,165,240,26.5,31,18.7,17.9,27.8,15.4,21.5
1,0,160,245,26.1,32,18.7,18,28.2,15.5,21.4
1,1,160,252,26.9,30.8,18.7,18,30,15.3,21.4
1,1,155,243,26.9,30.6,18.6,17.9,29.2,15.3,21.5
1,0,161,249,25.6,32.3,18.9,18.2,28.7,15.3,21
1,1,154,245,24.3,31.7,18.8,17.5,29.1,14.8,21.3
1,0,162,246,25.9,32.3,18.7,18,28.8,15.4,22.1
1,1,156,247,24.1,31.5,18.2,17.9,28.7,14.6,20.9
1,0,163,250,25.5,32.5,19.1,18.6,30.4,15.8,22.6
1,1,161,253,26.5,31.8,19.8,18.9,29.1,15.4,22.7
1,0,162,247,27.6,31.8,18.6,18.3,28.3,15.2,22.1
1,1,157,251,24.6,31.1,18.8,18.7,29.3,15.5,21.9
1,0,163,246,25.8,31.4,17.5,16.8,27.3,15.3,21.2
1,1,159,247,24.2,31.4,18.5,18.2,28.6,15.5,20.1
1,0,161,246,24.9,30.5,18.8,18.4,28.9,14.7,20.4
1,1,158,247,23.6,29.8,17.9,17.1,27.4,15.3,20.8
1,0,160,242,26,31,18.9,18.1,28.1,15.2,20.4
1,1,158,252,26.2,32,19,18.8,29.3,15.6,21.8
1,0,162,246,26.5,31.5,18.3,17.7,27.7,15.4,20.5
1,0,160,249,26,31.4,18.4,17.5,27.9,15.3,21.6
1,1,160,252,26.2,32,18.8,18.4,28.7,15.8,22.7
1,0,161,250,27.1,31.6,18.7,18.1,28.4,16,21.6
1,1,162,253,24.8,32.3,19.5,19.1,28.8,16.1,23.4
1,1,161,243,25.4,31.8,18.3,18.3,28.6,15.2,22.6
1,0,162,248,25.1,31.9,18.9,18.3,29.3,15,21.3
1,1,160,250,23.7,29.8,18.5,17.9,28,15,20.8
1,0,165,252,26,32.3,18.4,18,29.1,15.5,22.5
1,1,159,247,25.7,31.4,18.5,18.2,29,15,23.5
1,0,161,243,25.6,32.5,18,18,28.5,15.4,21.1
1,1,158,253,25.7,31.9,18.9,17.8,29.2,15.2,21.8
1,0,161,244,25,31.3,17.8,17.4,27.5,15.1,22.2
1,1,159,247,26.5,31.6,18.6,18.1,29.3,15.5,23.4
1,0,162,248,24.6,31,18.1,18,27.6,15,21.3
1,0,164,244,25,31.2,17.9,17.5,27.3,15.4,20.2
1,1,166,253,26.7,32.5,19.5,19.4,31.2,15.2,22.3
1,0,158,247,26,32,18.5,18,29.1,15.4,20.4
1,1,159,247,23.9,31.4,19.1,18.4,28.3,15.3,21
1,1,160,248,24.7,31.3,19.1,18.7,29.9,15.3,20.4
1,0,162,253,28.3,31.8,19.1,18.2,29.3,15.5,21.8
1,0,156,239,24.6,30.5,16.7,16.7,26.5,14.5,20.6
1,1,161,252,28,31.8,19.6,18.6,30.2,15,22.5
1,1,163,251,27.9,31.9,19.5,18.9,29.7,15.8,21.8
1,0,166,251,27.5,31.5,18.3,17.6,28.4,15.5,21.5
1,1,156,242,25.9,32,18.4,18.1,28.3,15.5,22.5
1,0,165,253,31,32.4,19.4,19,30,15.6,23
1,1,165,251,25.7,32.2,19.1,18.8,29.5,15.6,22
1,0,166,250,28.3,32.4,19.2,18.2,29.9,15.4,23.3
1,1,160,247,26.6,32.4,18.5,18,28.1,15,21.2
1,0,160,249,24.2,30.4,18.8,18.2,28.7,15.7,21.3
1,1,158,244,23.2,31.6,18.5,18.1,29,14.9,22.6
1,0,156,236,26.8,30.2,17.5,17,27.1,14.3,21.1
1,1,160,242,25.7,31.6,18,17.9,28.5,15.7,20
1,0,158,240,23.5,31,18.2,17.8,28.3,15.1,20.4
1,1,157,245,26.3,32.2,18.8,18.4,29,15.1,21.6
1,0,166,245,26.9,31.7,18.2,17.7,28.1,15.3,21.5
1,1,159,244,24.3,31.5,18.4,17.7,28.1,15.6,21.5
